,name,pred_points
170,Luka Milivojevic,5.007279872894287
171,Connor Roberts,0.0
172,Axel Tuanzebe,0.3108992874622345
173,Angus Gunn,2.243439197540283
174,Scott McTominay,2.9958291053771973
175,Aaron Ramsdale,2.6200716495513916
176,Alexandre Lacazette,3.0500895977020264
177,Andreas Christensen,0.0
178,Antonio Rüdiger,4.102414608001709
179,Ayoze Pérez,1.843313217163086
180,Benjamin Mendy,0.0
181,Bernardo Mota Veiga de Carvalho e Silva,5.560871124267578
182,Charlie Taylor,3.9810030460357666
183,Ciaran Clark,1.4403971433639526
184,Dale Stephens,0.7520977854728699
185,Davy Pröpper,0.0
186,Dwight Gayle,1.2638903856277466
187,Ederson Santana de Moraes,2.9358561038970947
188,Francisco Femenía Far,0.0
189,Grant Hanley,0.0
190,Isaac Hayden,1.1180357933044434
191,Jacob Murphy,0.942952573299408
192,Jairo Riedewald,0.7864336967468262
193,Jamaal Lascelles,0.8838353157043457
194,Jan Bednarek,0.0
195,Jonas Lössl,0.7111926674842834
196,Jonjo Shelvey,1.7694988250732422
197,Karl Darlow,0.4662392735481262
198,Kyle Walker-Peters,1.4356682300567627
199,Lewis Dunk,0.6436160206794739
200,Mathew Ryan,2.509190559387207
201,Mathias Jorgensen,1.4494739770889282
202,Matt Ritchie,2.724152088165283
203,Mohamed Salah,6.004116058349609
204,Pascal Groß,3.5783400535583496
205,Paul Dummett,1.3208364248275757
206,Phil Foden,1.9025897979736328
207,Reiss Nelson,0.661190390586853
208,Richarlison de Andrade,1.5000547170639038
209,Robert Elliot,0.14877688884735107
210,Sead Kolasinac,0.0
211,Shane Duffy,2.6103553771972656
212,Solomon March,4.3398118019104
213,Tammy Abraham,2.554638385772705
214,Victor Lindelöf,1.4215295314788818
215,Will Hughes,0.0
216,Chris Wood,0.0
217,Danny Ward,0.6129254102706909
218,Davinson Sánchez,5.897251605987549
219,Freddie Woodman,0.0
220,Nikola Vlasic,0.5262663960456848
221,Serge Aurier,0.0
222,Tim Krul,0.0
223,Ethan Ampadu,0.27838262915611267
224,Edward Nketiah,0.0
225,Joe Rodon,0.004619210958480835
226,Hamza Choudhury,2.5094761848449707
227,Ben Johnson,0.8233025074005127
228,Nathan Ferguson,0.0
229,Callum Hudson-Odoi,0.49942368268966675
230,Daniel Bachmann,0.2393774390220642
231,Cenk Tosun,0.5729398131370544
232,Konstantinos Mavropanos,0.08092528581619263
233,Michael Obafemi,0.6500231623649597
234,Aymeric Laporte,0.0
235,Jürgen Locadia,0.29925450682640076
236,Emerson Palmieri dos Santos,0.0
237,Jordan Hugill,0.0
238,Lucas Rodrigues Moura da Silva,2.0132641792297363
239,Martin Dubravka,2.5579304695129395
240,Pierre-Emerick Aubameyang,12.973090171813965
241,Trevoh Chalobah,2.313228130340576
242,Joseph Willock,4.3592848777771
243,Curtis Jones,0.536616861820221
244,Harvey Barnes,0.5267018675804138
245,Dwight McNeil,3.1967597007751465
246,Adam Masina,0.0
247,Alireza Jahanbakhsh,0.0
248,Alisson Ramses Becker,2.2607972621917725
249,Andriy Yarmolenko,0.298500657081604
250,André Filipe Tavares Gomes,0.9102894067764282
251,Bernard Anício Caldeira Duarte,0.7827533483505249
252,Bernd Leno,0.0
253,Conor Coady,3.316183090209961
254,Diogo Jota,1.351108431816101
255,Fabian Schär,1.3834083080291748
256,Fabio Henrique Tavares,1.7471405267715454
257,Florin Andone,0.36910027265548706
258,Frederico Rodrigues de Paula Santos,3.652754783630371
259,Isaac Success Ajayi,0.16000372171401978
260,Issa Diop,0.0
261,James Maddison,0.0
262,Jannik Vestergaard,0.4138772487640381
263,Jason Steele,0.0
264,John Ruddy,0.13152320683002472
265,Jonathan Castro Otto,3.0570216178894043
266,Jorge Luiz Frello Filho,1.2161009311676025
267,José Diogo Dalot Teixeira,4.212766170501709
268,João Filipe Iria Santos Moutinho,1.8641481399536133
269,Ken Sema,0.5171393752098083
270,Kepa Arrizabalaga,0.0
271,Kortney Hause,0.0
272,Leander Dendoncker,1.274571180343628
273,Lucas Digne,3.8276915550231934
274,Lucas Torreira,1.024285078048706
275,Marcus Bettinelli,0.0016446751542389393
276,Marc Navarro,0.0019725672900676727
277,Mateo Kovacic,0.0
278,Matt Doherty,0.0
279,Mohamed Elyounoussi,1.788362979888916
280,Morgan Gibbs-White,0.5113154649734497
281,Naby Keita,7.247385501861572
282,Raúl Jiménez,0.09154322743415833
283,Ricardo Domingos Barbosa Pereira,2.4872727394104004
284,Romain Saïss,3.0230860710144043
285,Rui Pedro dos Santos Patrício,2.0021002292633057
286,Ryan Fredericks,0.32199612259864807
287,Ryan Sessegnon,1.9691706895828247
288,Rúben Diogo da Silva Neves,0.9441365599632263
289,Stuart Armstrong,2.513279438018799
290,Vicente Guaita,0.0
291,Willy Boly,4.046984672546387
292,Will Norris,0.16410815715789795
293,Yerry Mina,1.611438512802124
294,Yves Bissouma,1.4775573015213013
295,Kieran Dowell,5.410367965698242
296,Sean Longstaff,0.0
297,Emiliano Martínez,1.573231816291809
298,Oliver Skipp,0.9499952793121338
299,Ben Wilmot,0.0
300,Conor Coventry,0.0
301,Yan Valery,2.8250887393951416
302,Ben White,0.9248073697090149
303,Bukayo Saka,1.2029350996017456
304,Max Kilman,0.9524500966072083
305,Dan Burn,0.0
306,Josh Benson,0.1677110642194748
307,Miguel Almirón,1.7618046998977661
308,Youri Tielemans,0.0
309,Çaglar Söyüncü,1.6828211545944214
310,Mason Greenwood,2.2922379970550537
311,Harvey Elliott,0.0
312,Adam Webster,4.053394317626953
313,Allan Saint-Maximin,1.8389402627944946
314,Anwar El Ghazi,0.0
315,Bailey Peacock-Farrell,0.0
316,Ben Godfrey,0.3084104657173157
317,Che Adams,0.3284665048122406
318,Christian Pulisic,7.962251663208008
319,Christoph Zimmermann,0.0
320,Conor Hourihane,0.13438968360424042
321,Dean Henderson,4.41630744934082
322,Dennis Praet,0.0
323,Douglas Luiz Soares de Paulo,0.0
324,Emil Krafth,0.2945314347743988
325,Ezri Konsa Ngoyo,1.9022332429885864
326,Frédéric Guilbert,0.4394441843032837
327,Gabriel Teodoro Martinelli Silva,1.1387320756912231
